name,age,servnm,rate
tatat,72,평생교육바우처,5
tatat,72,노후준비 서비스,3
tatat,72,어르신 문화 프로그램,1
tatat,72,재가급여,4
tatat,72,노인복지 민간단체 지원,5
rarar,63,평생교육바우처,5
rarar,63,노후준비 서비스,3
rarar,63,어르신 문화 프로그램,1
rarar,63,노인돌봄종합서비스,4
rarar,63,기초연금,5
babab,27,"산모, 신생아 건강관리지원사업",3
babab,27,모성보호 육아지원,1
babab,27,출산육아기고용안정장려금,5
babab,27,의료급여 수급자 영유아 건강검진비 지원,4
kakak,32,출산육아기고용안정장려금,4
kakak,32,의료급여 수급자 영유아 건강검진비 지원,5
kakak,32,"산모, 신생아 건강관리지원사업",3
kakak,32,고위험 임산부 의료비 지원,1
kakak,32,국민연금 출산 크레딧,3
papap,45,고용복지플러스센터,5
papap,45,창작준비금 지원,3
papap,45,직업훈련생계비 대부,4
papap,45,사회적기업 일자리 창출사업,4
papap,45,산림서비스 도우미,2
mamam,42,고용복지플러스센터,5
mamam,42,창작준비금 지원,3
mamam,42,직업훈련생계비 대부,4
mamam,42,공공산림가꾸기,3
mamam,42,취업성공패키지,5
cacac,34,여성기업종합지원센터 운영,5
cacac,34,여성창업지원,5
cacac,34,직장어린이집 설치 지원,4
cacac,34,출산육아기고용안정장려금,2
cacac,34,의료급여 수급자 영유아 건강검진비 지원,4
vavav,15,장애아동수당,4
vavav,15,서민층 가스시설 개선,2
vavav,15,보조공학기기지원,3
vavav,15,장애인기업종합지원센터 운영,4
vavav,15,장애대학생 도우미 지원,5
tdtdt,14,서민층 가스시설 개선,2
tdtdt,14,보조공학기기지원,3
tdtdt,14,장애인기업종합지원센터 운영,4
tdtdt,14,장애대학생 도우미 지원,5
tdtdt,14,교육복지 우선지원사업,5
jkjkj,22,보조공학기기지원,4
jkjkj,22,장애인기업종합지원센터 운영,5
jkjkj,22,장애대학생 도우미 지원,5
jkjkj,22,장애인 자립자금 대여,3
jkjkj,22,장애인활동지원,4
gtgtg,24,보조공학기기지원,4
gtgtg,24,장애인기업종합지원센터 운영,5
gtgtg,24,장애대학생 도우미 지원,5
gtgtg,24,발달장애인 공공후견지원 사업,3
gtgtg,24,권역재활병원 공공재활프로그램 운영지원,4
yayay,26,북한이탈주민 사회보장 지원,5
yayay,26,교육복지 우선지원사업,3
yayay,26,의료급여,4
yayay,26,다문화가족 지원사업,3
yayay,26,취약위기가족돌봄지원(가족역량강화지원)사업,3
eaeae,29,북한이탈주민 사회보장 지원,5
eaeae,29,북한이탈주민 정착금 지원,3
eaeae,29,다문화가족 방문교육 서비스,4
eaeae,29,교육복지 우선지원사업,3
eaeae,29,의료급여,4
onono,17,청소년한부모고교생 교육비 지원,4
onono,17,사랑의 그린PC 보급,3
onono,17,스포츠강좌이용권,4
onono,17,한부모가족복지시설 지원,2
onono,17,한부모가족 아동양육비 지원,1
ebebe,15,스포츠강좌이용권,4
ebebe,15,한부모가족복지시설 지원,2
ebebe,15,한부모가족 아동양육비 지원,1
ebebe,15,초·중·고 학생 교육정보화 지원,4
ebebe,15,취약계층 환경성질환 예방사업,2
erere,16,청소년한부모고교생 교육비 지원,1
erere,16,사랑의 그린PC 보급,4
erere,16,한부모가족복지시설 지원,5
erere,16,초·중·고 학생 교육정보화 지원,2
erere,16,취약계층 환경성질환 예방사업,1
memem,37,서민층 가스시설 개선,1
memem,37,의료급여(본인부담 상한금),5
memem,37,창작준비금 지원,4
memem,37,일반형 일자리 지원,3
memem,37,평생교육바우처,1
trtrt,2,다문화 보육료 지원,5
trtrt,2,청소년한부모고교생 교육비 지원,4
trtrt,2,공동육아나눔터 운영,4
trtrt,2,입양가정위탁아동 심리치료 지원,2
trtrt,2,입양아동 양육수당 지원,1
ytyty,1,다문화 보육료 지원,5
ytyty,1,청소년한부모고교생 교육비 지원,4
